Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%,Kalori_per_Kapita,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Indonesia,IDN,2003,24.7885640571414,2392.3088,10886442.0,186815100.0,7520.0,15478.0,774708.1,652913.4,529145.4
Kamboja,KHM,2003,28.8919102651258,2240.7344,314591.0,84000.0,0.0,8000.0,15.0,232.0,117911170.0
Malaysia,MYS,2003,21.6595343174555,2817.9324,72000.0,4403684.5,13227.8,1960.0,5066.0,993490.4,269670.44
Myanmar,MMR,2003,16.8038681641522,2185.2588,692900.0,66500.0,10152.8,639672.814,7731.632,570247.2,993794.0
Thailand,THA,2003,43.4026894243379,2626.5164,4248989.0,1754911.2,13402.0,828703.29,404.712,51469.6,44315492.2
Timor Leste,TLS,2003,22.4478816408877,2094.1917,70175.0,2085253.0,5728.0,71190.0,32.97,5789.6,2000.0
Vietnam,VNM,2003,30.7575708710936,2531.062,3136300.0,354891.012,3080.0,35513.462,714534.4,3158.4,7209.2
Filipina,PHL,2004,38.4679880605024,2399.371,5413386.0,1578169.0,370442.0,501727.04,485136.114,245883.8,743937.0
Indonesia,IDN,2004,24.8373681438111,2399.094,11225243.0,182122600.0,7520.0,12700.0,719504.8,644292.8,538315.0
Kamboja,KHM,2004,29.6283707228643,2258.5557,256665.0,93488.0,0.0,8000.0,12.0,200.0,118845550.0
Malaysia,MYS,2004,21.7065895601887,2840.1182,72000.0,5718187.0,17045.2,2270.0,6520.0,992570.2,256434.0
Myanmar,MMR,2004,16.9599951026905,2217.7837,771100.0,45000.0,40866.4,414619.81,559697.4,658347.0,1002708.0
Thailand,THA,2004,43.5847246961185,2636.2144,4341474.0,19125019.49,134602.0,2226346.5,1180.4,69967.0,33496208.8
Timor Leste,TLS,2004,22.4209818426362,2123.2595,82209.0,2369446.0,3800.0,70103.0,32.62,5789.6,1040.0
Vietnam,VNM,2004,31.5915760957203,2595.579,3430900.0,651298.0,2434.8,26750.986,1797270.0,3928.6,100.0
Filipina,PHL,2005,38.082302042459,2410.3528,5253160.0,1451011.0,412074.2,565572.56,521469.2,818118.8,819641.0
Indonesia,IDN,2005,24.9394340083909,2399.6846,12523894.0,203381380.0,7980.0,12701.0,658298.8,587532.2,541057.0
Kamboja,KHM,2005,30.3421708588262,2312.5935,247760.0,36719.0,0.0,8000.0,15.0,200.0,106014160.0
Malaysia,MYS,2005,21.7148379242124,2792.7483,75000.0,6004940.0,17045.2,3163825.0,6520.0,992570.2,275322.8
Myanmar,MMR,2005,17.2385820986899,2260.55,903500.0,50000.0,14391.6,268.2,535031.6,81015.6,1027946.0
