Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%
Indonesia,IDN,2019,28.7503293442037
Kamboja,KHM,2019,33.7162803081804
Malaysia,MYS,2019,26.0873535230558
Myanmar,MMR,2019,19.8857055308718
Thailand,THA,2019,45.019475816712
Timor Leste,TLS,2019,22.9589778076664
Vietnam,VNM,2019,39.5241027473527
Filipina,PHL,2020,42.455646107925
Indonesia,IDN,2020,28.9649906072855
Kamboja,KHM,2020,34.3013919102651
Malaysia,MYS,2020,26.0873535230558
Myanmar,MMR,2020,19.8875388787596
Thailand,THA,2020,45.5516837283955
Timor Leste,TLS,2020,22.9589778076664
Vietnam,VNM,2020,39.4347683207361
Filipina,PHL,2021,42.5361371029949
Indonesia,IDN,2021,28.9558492042508
Kamboja,KHM,2021,34.6999756401541
Malaysia,MYS,2021,26.0873535230558
Myanmar,MMR,2021,19.8875388787596
Thailand,THA,2021,45.9981600735971
Timor Leste,TLS,2021,22.9589778076664
Vietnam,VNM,2021,39.4347683207361
