Nama Negara,Tahun,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Myanmar,2008,1184700.0,37400.0,14391.6,307.654,28140.0,81015.6,1057125.0
Thailand,2008,4249354.0,1754911.2,13402.0,828703.29,404.712,51469.6,44315492.2
Timor Leste,2008,100173.0,2253098.5,2234.0,84332.0,32.78,31697.0,1200.0
Vietnam,2008,4573100.0,2219230.2,2320.0,159.766,3215575.8,6325.6,500.0
Filipina,2009,7034033.0,1732210.0,656869.2,1026.2,815467.6,818118.8,1223068.0
Indonesia,2009,17629740.0,207117860.0,40600.0,7000.0,474917.1,618048.6,579619.9
Kamboja,2009,924026.0,54953.0,2333.0,8000.0,5.0,200.0,103799864.0
Malaysia,2009,36396.0,5390533.5,17045.2,3341727.0,6520.0,992570.2,738520.0
Myanmar,2009,1225700.0,46600.0,5581.0,200889.572,1009713.0,214375.0,1069687.0
Thailand,2009,4616119.0,4518190.4,214713.98,57043.976,351.012,83290.4,22330862.0
Timor Leste,2009,134715.0,2156158.0,2216.0,75082.0,32.64,22480.8,1300.0
Vietnam,2009,4371700.0,2243870.2,27138.2,158.92,3314897.4,7327.2,500.0
Filipina,2010,6376796.0,1581732.0,780156.4,1102.8,824028.6,837345.2,1201200.0
Indonesia,2010,18327636.0,232482400.0,9297.4,8250.0,489095.8,618048.6,593606.6
Kamboja,2010,773269.0,34350.0,3581.0,8631.0,4.0,200.0,102009350.0
Malaysia,2010,47602.0,5050675.5,17045.2,2269018.0,6060.0,993490.4,695467.0
Myanmar,2010,1354400.0,57900.0,8022.0,411943.938,1013444.7,416203.0,1115724.0
Thailand,2010,4860746.0,4498566.36,214713.98,241084.39,319.0,83290.4,10813932.2
Timor Leste,2010,148890.78,2711356.2,2750.0,91334.0,32.51,51147.0,1300.0
Vietnam,2010,4606800.0,2297200.0,3472.4,135.64,2971247.6,8528.6,500.0
Filipina,2011,6971221.0,1587776.0,690041.8,1105.4,765540.6,1079779.6,1124230.0
Indonesia,2011,17643250.0,248769060.0,9297.4,8650.0,448596.38,302506.8,613883.5
Kamboja,2011,717000.0,76380.0,6600.0,8538.26,1.0,200.0,114785090.0
Malaysia,2011,59842.0,3217060.5,4623.4,2590240.0,332743.746,562956.8,748802.0
Myanmar,2011,1461500.0,60100.0,192800.0,8.0,31226.2,297405.6,1119814.0
Thailand,2011,4972952.0,54908965.16,214713.98,241084.39,319.0,83290.4,10788497.4
Timor Leste,2011,49783.0,2755966.0,2913.0,99717.0,30.0,31697.0,1200.0
Vietnam,2011,4835717.0,2348008.6,3472.4,126.0,2545430.4,8528.6,500.0
Filipina,2012,7407068.5,1754049.0,656869.2,1026.2,815467.6,818118.8,1341910.0
Indonesia,2012,19387022.0,251688350.0,9297.4,7600.0,474443.25,302506.8,633785.7
Kamboja,2012,950909.0,97640.0,7920.0,7734.0,26.0,300.0,103460160.0
Malaysia,2012,83601.0,4901207.0,17045.2,2162567.0,6060.0,993490.4,783647.0
Myanmar,2012,1501600.0,38700.0,8004.6,211334.362,1020727.1,415963.0,1128836.0
Thailand,2012,4947530.0,3179712.572,214713.98,241084.39,319.0,83290.4,10823038.32
Timor Leste,2012,62839.0,2678005.5,3650.0,87436.0,31.24,41400.8,1300.0
Vietnam,2012,4973482.0,1941002.2,4012.4,133.0,2130210.4,9319.4,500.0
Filipina,2013,7377293.5,1949796.0,682565.6,1112.2,783157.4,818118.8,1406860.0
Indonesia,2013,18511852.0,251917730.0,9297.4,9308.0,493260.1,302506.8,651661.0
Kamboja,2013,927000.0,120010.0,5800.0,8000.0,23.0,350.0,105651340.0
Malaysia,2013,86499.0,4904148.0,17045.2,2351421.0,6060.0,993490.4,725125.0
Myanmar,2013,1600600.0,47700.0,36108.8,211334.362,1020727.1,292894.4,1182524.0
Thailand,2013,4876180.0,4498566.36,214713.98,241084.39,319.0,83290.4,10813932.2
Timor Leste,2013,100789.0,2722871.2,2760.0,86064.0,32.12,55651.4,1300.0
